This_id	SNPClass	Sample	TgtRegionSize	TN	FN	TP	FP	Fscore	Sensitivity-Recall	Specificity	FDR	PPV	Precision	AltId	CmpFootprint	AllVarMeanDP	CovBin	Aligner	SNVCaller	zeroA	zeroB	UG_cov
Uds40x_HG006_408622-Z0116_0-ug-sentdug-SNPts	SNPts	Uds40x_HG006_408622-Z0116_0	2497573920.0	2495406954.0	5471.0	2161495.0	2134.0	0.9982438902737384	0.9974752718778236	0.9999991448295952	0.0009863058777637	0.9990136941222364	0.9990136941222364	HG006	giabHC_x_ultima	-1	-2	ug	sentdug	0.0	0.0	40.0
Uds40x_HG006_408622-Z0116_0-ug-sentdug-SNPtv	SNPtv	Uds40x_HG006_408622-Z0116_0	2497573920.0	2496557525.0	3296.0	1013099.0	2876.0	0.9969631513946772	0.9967571662591808	0.9999988480150536	0.0028307783163955	0.9971692216836044	0.9971692216836044	HG006	giabHC_x_ultima	-1	-2	ug	sentdug	0.0	0.0	40.0
Uds40x_HG006_408622-Z0116_0-ug-sentdug-INS_50	INS_50	Uds40x_HG006_408622-Z0116_0	2497573920.0	2497428603.0	2043.0	143274.0	2321.0	0.984998900011	0.9859410805342802	0.9999990706449664	0.0159414815069198	0.98405851849308	0.98405851849308	HG006	giabHC_x_ultima	-1	-2	ug	sentdug	0.0	0.0	40.0
Uds40x_HG006_408622-Z0116_0-ug-sentdug-INS_gt50	INS_gt50	Uds40x_HG006_408622-Z0116_0	2497573920.0	2497573916.0	0.0	4.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	HG006	giabHC_x_ultima	-1	-2	ug	sentdug	0.0	0.0	40.0
Uds40x_HG006_408622-Z0116_0-ug-sentdug-DEL_50	DEL_50	Uds40x_HG006_408622-Z0116_0	2497573920.0	2497422255.0	4996.0	146669.0	139.0	0.9827957637709273	0.9670589786700952	0.9999999443426149	0.000946814887472	0.999053185112528	0.999053185112528	HG006	giabHC_x_ultima	-1	-2	ug	sentdug	0.0	0.0	40.0
Uds40x_HG006_408622-Z0116_0-ug-sentdug-DEL_gt50	DEL_gt50	Uds40x_HG006_408622-Z0116_0	2497573920.0	2497573919.0	0.0	1.0	1.0	0.6666666666666666	1.0	0.9999999995996116	0.5	0.5	0.5	HG006	giabHC_x_ultima	-1	-2	ug	sentdug	0.0	0.0	40.0
Uds40x_HG006_408622-Z0116_0-ug-sentdug-Indel_50	Indel_50	Uds40x_HG006_408622-Z0116_0	2497573920.0	2497561732.0	163.0	12025.0	8.0	0.9929400107344868	0.9866261896947818	0.999999996796876	0.0006648383611734	0.9993351616388264	0.9993351616388264	HG006	giabHC_x_ultima	-1	-2	ug	sentdug	0.0	0.0	40.0
Uds40x_HG006_408622-Z0116_0-ug-sentdug-Indel_gt50	Indel_gt50	Uds40x_HG006_408622-Z0116_0	2497573920.0	2497573648.0	0.0	272.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	HG006	giabHC_x_ultima	-1	-2	ug	sentdug	0.0	0.0	40.0
Uds40x_HG006_408622-Z0116_0-ug-sentdug-All	All	Uds40x_HG006_408622-Z0116_0	2497573920.0	2494081112.0	15969.0	3476839.0	7479.0	0.996639303919694	0.9954280338340956	0.9999970013094054	0.0021464745755123	0.9978535254244876	0.9978535254244876	HG006	giabHC_x_ultima	-1	-2	ug	sentdug	0.0	0.0	40.0
Uds40x_HG006_408622-Z0116_0-ug-sentdug-SNPts	SNPts	Uds40x_HG006_408622-Z0116_0	2799325643.0	2797105311.0	6452.0	2213880.0	152906.0	0.9652596684890165	0.9970941282655026	0.9999453371880112	0.064604911470661	0.935395088529339	0.935395088529339	HG006	ultima	-1	-2	ug	sentdug	0.0	0.0	40.0
Uds40x_HG006_408622-Z0116_0-ug-sentdug-SNPtv	SNPtv	Uds40x_HG006_408622-Z0116_0	2799325643.0	2798284405.0	3835.0	1037403.0	87227.0	0.9579558865083192	0.9963168843242372	0.9999688293724098	0.0775606199372238	0.922439380062776	0.922439380062776	HG006	ultima	-1	-2	ug	sentdug	0.0	0.0	40.0
Uds40x_HG006_408622-Z0116_0-ug-sentdug-INS_50	INS_50	Uds40x_HG006_408622-Z0116_0	2799325643.0	2799170826.0	2365.0	152452.0	35788.0	0.8887852456005852	0.984723899830122	0.9999872149487568	0.1901189970250743	0.8098810029749256	0.8098810029749256	HG006	ultima	-1	-2	ug	sentdug	0.0	0.0	40.0
Uds40x_HG006_408622-Z0116_0-ug-sentdug-INS_gt50	INS_gt50	Uds40x_HG006_408622-Z0116_0	2799325643.0	2799325623.0	10.0	10.0	299.0	0.060790273556231	0.5	0.9999998931885716	0.9676375404530744	0.0323624595469255	0.0323624595469255	HG006	ultima	-1	-2	ug	sentdug	0.0	0.0	40.0
Uds40x_HG006_408622-Z0116_0-ug-sentdug-DEL_50	DEL_50	Uds40x_HG006_408622-Z0116_0	2799325643.0	2799164151.0	5512.0	155980.0	45181.0	0.8602162397663884	0.9658682783048076	0.9999838593707576	0.2246011900915187	0.7753988099084812	0.7753988099084813	HG006	ultima	-1	-2	ug	sentdug	0.0	0.0	40.0
Uds40x_HG006_408622-Z0116_0-ug-sentdug-DEL_gt50	DEL_gt50	Uds40x_HG006_408622-Z0116_0	2799325643.0	2799325619.0	23.0	1.0	557.0	0.0034364261168384	0.0416666666666666	0.9999998010235446	0.9982078853046596	0.0017921146953404	0.0017921146953405	HG006	ultima	-1	-2	ug	sentdug	0.0	0.0	40.0
Uds40x_HG006_408622-Z0116_0-ug-sentdug-Indel_50	Indel_50	Uds40x_HG006_408622-Z0116_0	2799325643.0	2799310530.0	196.0	14917.0	4854.0	0.8552344914574016	0.9870310328855952	0.9999982660045996	0.2455111021192655	0.7544888978807345	0.7544888978807344	HG006	ultima	-1	-2	ug	sentdug	0.0	0.0	40.0
Uds40x_HG006_408622-Z0116_0-ug-sentdug-Indel_gt50	Indel_gt50	Uds40x_HG006_408622-Z0116_0	2799325643.0	2799324929.0	13.0	701.0	493.0	0.7348008385744235	0.9817927170868348	0.999999823886142	0.4128978224455611	0.5871021775544389	0.5871021775544388	HG006	ultima	-1	-2	ug	sentdug	0.0	0.0	40.0
Uds40x_HG006_408622-Z0116_0-ug-sentdug-All	All	Uds40x_HG006_408622-Z0116_0	2799325643.0	2795731893.0	18406.0	3575344.0	327305.0	0.9538830577187796	0.9948783304347826	0.9998829406043211	0.0838673936600498	0.91613260633995	0.91613260633995	HG006	ultima	-1	-2	ug	sentdug	0.0	0.0	40.0
